id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,IR pressure,116,68,26,36,594,ship,baseline,monotonic-signal
g002,lowering drift,36,8,18,37,180,ship,edge,drag-penalty
g003,stack depth,87,15,36,74,418,ship,recovery,confidence-floor
g004,diagnostic reach,116,21,5,22,535,ship,negative,lane-boundary
g005,IR pressure,46,62,12,43,358,ship,baseline,monotonic-signal
g006,lowering drift,103,50,17,58,577,ship,edge,drag-penalty
g007,stack depth,91,46,42,70,470,ship,recovery,confidence-floor
g008,diagnostic reach,88,12,35,81,433,ship,negative,lane-boundary
g009,IR pressure,90,32,33,91,507,ship,baseline,monotonic-signal
g010,lowering drift,95,45,33,100,571,ship,edge,drag-penalty
g011,stack depth,57,54,14,66,426,ship,recovery,confidence-floor
g012,diagnostic reach,85,61,6,97,638,ship,negative,lane-boundary
g013,IR pressure,59,32,42,31,236,ship,baseline,monotonic-signal
g014,lowering drift,49,55,44,45,264,ship,edge,drag-penalty
g015,stack depth,48,69,25,57,369,ship,recovery,confidence-floor
g016,diagnostic reach,95,43,38,67,486,ship,negative,lane-boundary
g017,IR pressure,78,68,4,34,504,ship,baseline,monotonic-signal
g018,lowering drift,73,48,31,65,425,ship,edge,drag-penalty
g019,stack depth,30,40,25,42,209,ship,recovery,confidence-floor
g020,diagnostic reach,100,39,44,35,416,ship,negative,lane-boundary
g021,IR pressure,94,76,34,36,498,ship,baseline,monotonic-signal
g022,lowering drift,51,62,31,73,381,ship,edge,drag-penalty
g023,stack depth,33,22,31,21,125,watch,recovery,confidence-floor
g024,diagnostic reach,71,75,11,42,485,ship,negative,lane-boundary
g025,IR pressure,50,32,45,57,243,ship,baseline,monotonic-signal
g026,lowering drift,87,50,21,69,523,ship,edge,drag-penalty
g027,stack depth,109,61,32,80,622,ship,recovery,confidence-floor
g028,diagnostic reach,79,34,39,90,447,ship,negative,lane-boundary
g029,IR pressure,112,58,44,99,630,ship,baseline,monotonic-signal
g030,lowering drift,44,73,27,65,371,ship,edge,drag-penalty
g031,stack depth,101,13,20,96,562,ship,recovery,confidence-floor
g032,diagnostic reach,69,20,18,30,322,ship,negative,lane-boundary
g033,IR pressure,77,26,18,44,394,ship,baseline,monotonic-signal
g034,lowering drift,40,67,41,56,283,ship,edge,drag-penalty
g035,stack depth,69,55,33,66,419,ship,recovery,confidence-floor
g036,diagnostic reach,87,51,27,33,435,ship,negative,lane-boundary
g037,IR pressure,56,17,29,64,299,ship,baseline,monotonic-signal
g038,lowering drift,44,37,10,41,302,ship,edge,drag-penalty
g039,stack depth,41,50,23,34,263,ship,recovery,confidence-floor
g040,diagnostic reach,43,59,31,35,267,ship,negative,lane-boundary
g041,IR pressure,48,66,16,72,420,ship,baseline,monotonic-signal
g042,lowering drift,98,37,10,20,476,ship,edge,drag-penalty
g043,stack depth,38,60,29,41,267,ship,recovery,confidence-floor
g044,diagnostic reach,100,74,19,56,603,ship,negative,lane-boundary
g045,IR pressure,90,48,16,68,544,ship,baseline,monotonic-signal
g046,lowering drift,89,73,16,79,612,ship,edge,drag-penalty
g047,stack depth,48,53,38,89,362,ship,recovery,confidence-floor
g048,diagnostic reach,31,45,30,98,320,ship,negative,lane-boundary
g049,IR pressure,114,44,6,64,654,ship,baseline,monotonic-signal
g050,lowering drift,71,11,17,95,445,ship,edge,drag-penalty
g051,stack depth,53,67,24,29,332,ship,recovery,confidence-floor
g052,diagnostic reach,47,27,29,43,241,ship,negative,lane-boundary
g053,IR pressure,92,10,12,55,462,ship,baseline,monotonic-signal
g054,lowering drift,74,37,5,65,485,ship,edge,drag-penalty
g055,stack depth,112,55,45,32,487,ship,recovery,confidence-floor
g056,diagnostic reach,91,66,45,63,487,ship,negative,lane-boundary
g057,IR pressure,40,39,26,40,240,ship,baseline,monotonic-signal
g058,lowering drift,62,63,18,33,386,ship,edge,drag-penalty
g059,stack depth,32,8,12,34,176,watch,recovery,confidence-floor
g060,diagnostic reach,65,18,14,71,396,ship,negative,lane-boundary
g061,IR pressure,85,25,37,105,489,ship,baseline,monotonic-signal
g062,lowering drift,54,31,8,40,334,ship,edge,drag-penalty
g063,stack depth,110,72,16,55,646,ship,recovery,confidence-floor
g064,diagnostic reach,30,60,43,67,245,ship,negative,lane-boundary
g065,IR pressure,81,56,37,78,481,ship,baseline,monotonic-signal
g066,lowering drift,110,22,14,88,618,ship,edge,drag-penalty
g067,stack depth,40,42,4,97,426,ship,recovery,confidence-floor
g068,diagnostic reach,97,55,43,63,495,ship,negative,lane-boundary
g069,IR pressure,85,64,43,94,527,ship,baseline,monotonic-signal
g070,lowering drift,82,71,23,28,457,ship,edge,drag-penalty
g071,stack depth,84,42,15,42,459,ship,recovery,confidence-floor
g072,diagnostic reach,89,65,33,54,495,ship,negative,lane-boundary
g073,IR pressure,51,9,44,64,218,ship,baseline,monotonic-signal
g074,lowering drift,79,53,9,31,457,ship,edge,drag-penalty
g075,stack depth,53,8,14,62,310,ship,recovery,confidence-floor
g076,diagnostic reach,43,58,39,39,249,ship,negative,lane-boundary
g077,IR pressure,42,50,32,32,236,ship,baseline,monotonic-signal
g078,lowering drift,89,49,30,33,430,ship,edge,drag-penalty
g079,stack depth,72,16,30,70,370,ship,recovery,confidence-floor
g080,diagnostic reach,67,72,11,104,587,ship,negative,lane-boundary
g081,IR pressure,112,32,45,39,455,ship,baseline,monotonic-signal
g082,lowering drift,94,15,39,54,397,ship,edge,drag-penalty
g083,stack depth,88,42,41,66,445,ship,recovery,confidence-floor
g084,diagnostic reach,45,60,22,77,388,ship,negative,lane-boundary
g085,IR pressure,115,71,35,87,671,ship,baseline,monotonic-signal
g086,lowering drift,65,44,43,96,411,ship,edge,drag-penalty
g087,stack depth,44,68,28,62,352,ship,recovery,confidence-floor
g088,diagnostic reach,81,13,22,93,470,ship,negative,lane-boundary
g089,IR pressure,103,23,41,27,389,ship,baseline,monotonic-signal
g090,lowering drift,73,30,31,41,341,ship,edge,drag-penalty
g091,stack depth,106,36,28,53,518,ship,recovery,confidence-floor
g092,diagnostic reach,38,77,28,63,348,ship,negative,lane-boundary
g093,IR pressure,95,65,8,30,546,ship,baseline,monotonic-signal
g094,lowering drift,63,61,42,61,370,ship,edge,drag-penalty
g095,stack depth,71,27,18,38,360,ship,recovery,confidence-floor
g096,diagnostic reach,34,47,29,31,205,ship,negative,lane-boundary
